Field1,Text,Text1,Text2
"Elon Musk
@elonmusk
·
14 de jun
Could turn out to be one big Philip K Dick joke in the end
8,2 mil
3,8 mil
70,9 mil
Mostrar esta sequência",@elonmusk,14 de jun,Could turn out to be one big Philip K Dick joke in the end
"Elon Musk
@elonmusk
·
14 de jun
Pluto takes 248 years to orbit the sun, but Uranus only takes 84
16 mil
16,1 mil
246 mil",@elonmusk,14 de jun,"Pluto takes 248 years to orbit the sun, but Uranus only takes 84"
"Elon Musk
@elonmusk
·
6 de jun
Model S goes to Plaid speed this week
12,9 mil
7,6 mil
143,8 mil
Mostrar esta sequência",@elonmusk,6 de jun,Model S goes to Plaid speed this week
"Elon Musk
@elonmusk
·
5 de jun
Don’t kill what you hate,
Save what you love
43 mil
69,9 mil
472,4 mil",@elonmusk,5 de jun,"Don’t kill what you hate,
Save what you love"
"Elon Musk
@elonmusk
·
5 de jun
Goods & services are the real economy, any form of money is simply the accounting thereof
22,3 mil
22,7 mil
210,2 mil",@elonmusk,5 de jun,"Goods & services are the real economy, any form of money is simply the accounting thereof"
"Elon Musk
@elonmusk
·
5 de jun
 –> 
58,2 mil
36,3 mil
306,5 mil",@elonmusk,5 de jun, –> 
"Elon Musk
@elonmusk
·
4 de jun
Canada
USA
Mexico
37,5 mil
33,3 mil
301,6 mil",@elonmusk,4 de jun,"Canada
USA
Mexico"
"Elon Musk
@elonmusk
·
29 de mai
Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance.
10,3 mil
9 mil
142,6 mil",@elonmusk,29 de mai,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance."
"Elon Musk
@elonmusk
·
24 de mai
Spoke with North American Bitcoin miners. They committed to publish current & planned renewable usage & to ask miners WW to do so. Potentially promising.
26,6 mil
49 mil
326 mil",@elonmusk,24 de mai,Spoke with North American Bitcoin miners. They committed to publish current & planned renewable usage & to ask miners WW to do so. Potentially promising.
"Elon Musk
@elonmusk
·
22 de mai
Any sufficiently advanced magic is indistinguishable from technology
26,2 mil
26,7 mil
288,8 mil",@elonmusk,22 de mai,Any sufficiently advanced magic is indistinguishable from technology
